Tetrabenzo[a,cd,j,lm]perylene;591
Tetrabenzo[a,e,j,o]perylene;644
Tetrabenzo[a,f,j,o]perylene;646
Tetrabenzo[a,f,k,n]perylene;643
Tetrabenzo[bc,ef,hi,kl]coronene;618
Tetrabenzo[bc,ef,kl,no]coronene;616
Tetrabenzo[de,h,kl,rst]pentaphene;594
Tetrabenzo[de,hi,mn,qr]naphthacene;387
Tetrabenzo[de,hi,op,st]pentacene;596
Tetrabenzo[de,jk,op,uv]pentacene;595
1,2:3,4:5,6:7,8-Tetrabenzonaphthalene;272
Tetracene;40
Tetrahelicene;37
Tetraphene;38
Tribenz[a,c,h]anthracene;283
1,2,3,4,5,6-Tribenzanthracene;283
Tribenzo[a,c,j]naphthacene;464
8H-Tribenzo[a,cd,l]pyrene;308
Tribenzo[a,cd,lm]perylene;391
Tribenzo[a,e,ghi]perylene;379
Tribenzo[a,ef,hi]coronene;575
Tribenzo[a,ef,no]coronene;573
Tribenzo[a,f,j]perylene;565
Tribenzo[a,ghi,k]perylene;398
Tribenzo[a,hi,kl]coronene;578
Tribenzo[a,hi,mn]naphthacene;344
Tribenzo[a,i,l]pyrene;340
Tribenzo[b,def,p]chrysene;334
Tribenzo[b,e,ghi]perylene;383
Anthraceno-1',2',1,2-anthracene;277
Anthracin;15
Anthrodianthrene;374
Benz[4,10]anthra[1,9,8-abcd]coronene;625
15H-Benz[4,5]indeno[1,2-l]phenanthrene;246
9H-Benz[4,5]indeno[2,1-c]phenanthrene;249
7H-Benz[5,6]indeno[1,2-a]phenanthrene;251
Benz[5,6]indeno[2,1-a]phenalene;179
7H-Benz[5,6]indeno[2,1-a]phenanthrene;252
9H-Benz[5,6]indeno[2,1-c]phenanthrene;245
Benz[a]aceanthrylene;68
Benz[a]acenaphthylene;18
Benz[a]acephenanthrylene;59
1,2:5,6-Ben z[a]anthracene;130
Benz[a]anthracene;38
Benz[a]indeno[1,2-c]fluorene;176
Benz[a]indeno[2,1-c]naphthalene;165
Benz[a]indeno[5,6-g]fluorene;174
Benz[a]ovalene;622
Benz[b]anthracene;40
Benz[b]indeno[2,1-h]fluorene;170
11H-Benz[bc]aceanthrylene;47
Benz[c]indeno[2,1-a]fluorene;166
Benz[d]aceanthrylene;67
Benz[d]ovalene;629
1H-Benz[de]anthracene;32
Benz[de]indeno[2,1-b]anthracene;178
Benz[def]indeno[1,2,3-hi]chrysene;260
Benz[def]indeno[1,2,3-qr]chrysene;259
Benz[e]aceanthrylene;61
3,4-Benz[e]acephenanthrylene;69
Benz[e]acephenanthrylene;69
1H-Benz[e]indene;10
3H-Benz[e]indene;9
1H-Benz[f]indene;12
1H-Benz[fg]aceanthrylene;43
5H-Benz[fg]acenaphthylene;16
10H-Benz[g]indeno[2,1-a]phenanthrene;247
Benz[j]aceanthrylene;64
Benz[j]acephenanthrylene;63
Benz[k]acephenanthrylene;65
Benz[l]aceanthrylene;62
Benz[l]acephenanthrylene;60
Benz[mno]aceanthrylene;34
Benz[mno]indeno[1,7,6,5-cdef]chrysene;157
Benz[mno]indeno[5,6,7,1-defg]chrysene;154
4,5-Benz-10,11-(1',2'-naphtha)chrysene;518
1,2:5,6-Benzanthracene;130
Benzo[a]pyrene;74
Benzo[b]anthanthrene;269
Benzo[b]chrysene;131
5H-Benzo[b]cyclopenta[def]chrysene;147
13H-Benzo[b]cyclopenta[def]triphenylene;140
Benzo[b]cyclopenta[hi]chrysene;204
4H-Benzo[b]cyclopenta[jkl]triphenylene;139
4H-Benzo[b]cyclopenta[mno]chrysene;149
Benzo[b]cyclopenta[qr]chrysene;197
Benzo[b]fluoranthene;69
11H-Benzo[b]fluorene;31
Benzo[b]naphthacene;133
Benzo[b]naphtho[1,2,3,4-pqr]perylene;382
Benzo[b]naphtho[1,2-k]chrysene;518
Benzo[b]naphtho[1,2-l]chrysene;499
Benzo[b]naphtho[2,1-g]chrysene;449
Benzo[b]naphtho[2,1-k]chrysene;502
Benzo[b]naphtho[2,1-p]chrysene;440
Benzo[b]naphtho[2,3-g]chrysene;439
Benzo[b]naphtho[2,3-j]chrysene;508
Benzo[b]naphtho[2,3-l]chrysene;478
Benzo[b]naphtho[8,1,2-pqr]chrysene;343
Benzo[b]pentahelicene;274
Benzo[b]pentaphene;298
Benzo[b]perylene;238
Benzo[b]phenanthrene;38
Benzo[b]picene;302
Benzo[b]triphenylene;123
Benzo[bc]naphtho[1,2,3-ef]coronene;577
Benzo[bc]naphtho[3,2,1-ef]coronene;574
Benzo[c]chrysene;126
Benzo[c]cyclopenta[hi]chrysene;190
4H-Benzo[c]cyclopenta[mno]chrysene;143
Benzo[c]cyclopenta[qr]chrysene;187
7H-Benzo[c]fluorene;29
Benzo[c]fluorene;29
Benzo[c]hexaphene;506
Benzo[c]naphtho[1,2-l]chrysene;495
Benzo[c]naphtho[2,1-m]pentaphene;608
Benzo[c]naphtho[2,1-p]chrysene;429
Benzo[c]naphtho[2,3-l]chrysene;477
Benzo[c]naphtho[7,8,1,2,3-pqrst]pentaphene;419
Benzo[c]naphtho[8,1,2-ghi]chrysene;333
Benzo[c]pentahelicene;278
Benzo[c]pentaphene;299
Benzo[c]phenanthrene;37
Benzo[c]picene;306
Benzo[c]tetraphene;131
1H-Benzo[cd]fluoranthene;45
Benzo[cd]naphtho[3,2,1,8-pqra]perylene;314
2H-Benzo[cd]pyrene;50
3H-Benzo[cd]pyrene;49
5H-Benzo[cd]pyrene;52
6H-Benzo[cd]pyrene;51
Benzo[lm]naphtho[1,8-ab]perylene;394
Benzo[lm]phenanthro[5,4,3-abcd]perylene;545
Benzo[lmn]naphtho[2,1,8-qra]perylene;317
Benzo[m]naphtho[8,1,2-abc]coronene;582
Benzo[mno]fluoranthene;35
Benzo[mno]naphtho[1,2-c]chrysene;359
Benzo[mno]naphtho[2,1-c]chrysene;332
Benzo[o]hexaphene;505
8H-Benzo[p]cyclopenta[def]chrysene;138
Benzo[p]hexaphene;498
Benzo[p]naphtho[1,2-b]chrysene;470
Benzo[p]naphtho[1,8,7-ghi]chrysene;327
Benzo[p]naphtho[2,1-b]chrysene;469
Benzo[p]naphtho[8,1,2-abc]coronene;572
Benzo[pqr]dinaphtho[8,1,2-bcd:2',1',8'-lmn]perylene;585
