"Dibenzo[a,pqr]picene",355,"Dibenzo[c,pqr]picene",366
"Dibenzo[a,rst]naphtho[8,1,2-cde]pentaphene",597,"Dibenzo[c,rst]pentaphene",367
"Dibenzo[c,s]picene",485,"Dibenzo[j,l]fluoranthene",213
"Dibenzo[cd,fg]anthanthrene",316,"Dibenzo[j,lm]naphtho[1,8-ab]perylene",593
"Dibenzo[cd,hi]anthanthrene",317,"Dibenzo[j,lm]phenanthro[5,4,3-abcd]perylene",636
"Dibenzo[cd,jk]pyrene",121,"Dibenzo[kl,no]naphtho[8,1,2-abc]coronene",621
"Dibenzo[cd,k]naphtho[3,2,1,8-pqra]perylene",538,"Dibenzo[kl,rst]naphtho[2,1,8,7-defg]pentaphene",556
"Dibenzo[cd,lm]anthanthrene",320,"Dibenzo[mn,qr]fluoreno[2,1,9,8,7-defghi]naphthacene",373
"Dibenzo[cd,lm]perylene",270,"Dibenzo[pq,uv]pentaphene",346
"Dibenzo[cd,n]naphtho[3,2,1,8-pqra]perylene",542,"Dibenzo[q,vwx]hexaphene",568
"Dibenzo[de,ij]naphtho[3,2,1,8,7-rstuv]pentaphene",548,"Dibenzo[rs,vwx]naphtho[2,1,8,7-klmn]hexaphene",638
"Dibenzo[de,ij]naphtho[7,8,1,2,3-pqrst]pentaphene",546,"Dibenzo-1,2,7,8-anthracene",127
"Dibenzo[de,ij]pentaphene",350,"Dibenzo-2,3,11,12-fluoranthene",225
"Dibenzo[de,kl]pentaphene",358,"1,2,7,8-Dibenzo-4,5-phenanthrylenemethane",150
"Dibenzo[de,mn]naphthacene",240,"1,2,5,6-Dibenzoanthracene",130
"Dibenzo[de,mn]naphtho[2,1,8-qra]naphthacene",390,"2,3,6,7-Dibenzoanthracene",133
"Dibenzo[de,op]naphthacene",238,"2,3,4,5-Dibenzocoronene",374
"Dibenzo[de,qr]naphthacene",235,"2,3,8,9-Dibenzocoronene",376
"Dibenzo[de,qr]pentacene",357,anti-diperi-Dibenzocoronene,376
"Dibenzo[de,qr]tetracene",235,vic-diperi-Dibenzocoronene,374
"Dibenzo[de,st]pentacene",353,"2,3,5,6-Dibenzofluoranthene",214
"Dibenzo[de,uv]pentacene",345,"1,2,3,4-Dibenzofluorene",84
"Dibenzo[de,uv]pentaphene",347,"1,2,5,6-Dibenzofluorene",90
"Dibenzo[def,mno]chrysene",121,"1,2,7,8-Dibenzofluorene",92
"Dibenzo[def,mno]cyclopenta[hi]chrysene",156,"2,3,6,7-Dibenzofluorene",96
"Dibenzo[def,p]chrysene",232,"1.12,2.3-Dibenzoperylene",266
"Dibenzo[e,ghi]perylene",266,"1.12,4.5-Dibenzoperylene",265
"Dibenzo[e,l]pyrene",237,"2,3,10,11-Dibenzoperylene",352
"Dibenzo[ef,hi]naphtho[8,1,2-abc]coronene",620,"2,3,8,9-Dibenzoperylene",356
"Dibenzo[ef,no]naphtho[8,1,2-abc]coronene",614,"1,2,5,6-Dibenzophenanthrene",126
"Dibenzo[f,j]naphtho[1,2,3,4-pqr]picene",647,"2,3,6,7-Dibenzophenanthrene",128
"Dibenzo[f,j]picene",461,"2,3:7,8-Dibenzophenanthrene",131
"Dibenzo[f,m]tetraphene",283,"3,4,5,6-Dibenzophenanthrene",122
"Dibenzo[f,pqr]picene",342,"2,2'-Dibenzophenanthrene",128
"Dibenzo[f,s]picene",443,"3,3'-Dibenzophenanthrene",122
"Dibenzo[fg,ij]naphtho[2,1,8-uva]pentaphene",592,"1,2:4,5-Dibenzopyrene",234
"Dibenzo[fg,ij]naphtho[7,8,1,2,3-pqrst]pentaphene",540,"1,2:9,10-Dibenzopyrene",232
"Dibenzo[fg,ij]pentaphene",352,"2,3:4,5-Dibenzopyrene",232
"Dibenzo[fg,ij]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene",580,"3,4:8,9-Dibenzopyrene",232
"Dibenzo[fg,ij]phenanthro[9,10,1,2,3-pqrst]pentaphene",634,"3,4:9,10-Dibenzopyrene",243
"Dibenzo[fg,op]anthanthrene",313,"4,5,6,7-Dibenzopyrene",232
"Dibenzo[fg,op]naphthacene",237,"4,5,8,9-Dibenzopyrene",243
"Dibenzo[fg,qr]pentacene",356,"4,5,9,10-Dibenzopyrene",237
"Dibenzo[fg,st]hexacene",569,"1.2,7.8-Dibenzotetracene",300
"Dibenzo[fgh,pqr]trinaphthylene",590,"1.2,9.10-Dibenzotetracene",297
"Dibenzo[g,p]chrysene",272,"1.2,5.6-Dibenzotetraphene",287
"Dibenzo[ghi,lm]naphtho[1,8-ab]perylene",537,"1,2:7,8-Dibenzphenanthrene",132
"Dibenzo[ghi,mno]fluoranthene",53,"1,2:3,4-Dibenzpyrene",232
"Dibenzo[ghi,n]naphtho[8,1,2-bcd]perylene",544,"1,2:6,7-Dibenzpyrene",237
"Dibenzo[ghi,pqr]perylene",159,"1,2:7,8-Dibenzpyrene",243
"Dibenzo[h,rst]pentaphene",336,"3,4:8,9-Dibenzpyrene",244
"Dibenzo[hi,kl]naphtho[8,1,2-abc]coronene",624,"Dicyclopenta[a,c]naphthacene",163
"Dibenzo[hi,qr]anthanthrene",318,"Dicyclopenta[a,j]coronene",371
"Dibenzo[ij,rst]naphtho[2,1,8,7-defg]pentaphene",554,Difluorenylene,272
"Dibenzo[ij,rst]phenanthro[9,10,1,2-defg]pentaphene",641,"1,2-Dihydroacenaphthylene",8
"Dibenzo[ijk,tuv]peropyrene",376,"1,2-Dihydroben[j]aceanthrylene",75
